,Augsburg,Muenchen,Landshut,Regensburg,Ingolstadt,Hersbruck,Nuernburg,Fuerth,Erlangen,Bamberg,Lichtenfels,Coburg,Bayreuth,Ansbach,Wuerzburg,Aschaffenburg,Darmstadt,Frankfurt,Mainz,Koblenz,Bonn,Koeln,Duesseldorf,Neuss,Duisburg,Essen,Gelsen-Kirchen,Bochum,Hagen,Dortmund,Muenster,Osnabrueck,Bielefeld,Hannover,Braunschweig,Kassel,Marburg,Giessen,Siegen,Gummersburg,Aachen,Saarbruecken,Kaiserslautern,Mannheim,Karlsruhe,Heilbronn,Stuttgart,Reutlingen,Ulm,Kempten,Freiburg,Offenburg,Fulda,Bremen,Bremen,Oldenburg,Hamburg,Rendsburg,Kiel
Aschaffenburg,74.653,91.967,93.493,83.259,69.405,60.083,55.362,52.202,51.923,47.011,51.352,50.220,58.009,42.544,24.515,0,6.325,9.899,16.492,35.355,52.802,61.555,70.093,71.421,76.577,73.007,75.166,71.021,64.498,67.119,81.597,90.609,78.313,93.392,94.430,53.852,35.355,27.893,41.881,53.009,72.945,51.478,33.838,20.809,36.401,31.401,42.297,51.245,62.394,88.600,74.847,56.798,28.425,118.004,125.016,121.594,138.654,161.245,164.754
Darmstadt,77.104,94.795,97.617,88.023,73.246,65.253,60.440,57.280,57.271,53.009,57.559,56.515,64.008,47.011,30.150,6.325,0,9.055,11.662,31.401,49.518,58.796,67.801,68.884,74.404,71.344,73.824,69.771,63.561,66.731,81.744,91.662,80.006,96.840,98.838,57.585,37.014,29.017,40.719,51.478,68.797,45.188,27.803,16.155,32.757,31.016,41.485,50.220,63.063,89.051,70.838,52.555,33.941,120.204,127.063,123.146,141.891,164.073,167.905
Frankfurt,84.504,101.863,103.175,92.574,79.202,69.080,64.475,61.327,60.745,54.589,58.009,56.143,65.490,52.154,33.242,9.899,9.055,0,9.487,26.000,43.012,51.662,60.208,61.522,66.708,63.246,65.513,61.400,55.009,57.940,72.801,82.608,71.000,88.544,91.417,49.659,28.071,20.000,32.249,43.267,63.506,48.826,33.422,24.515,41.437,39.850,50.448,59.228,71.589,97.693,79.120,60.729,29.155,111.288,118.106,114.110,133.405,155.364,159.355
Mainz,88.391,106.217,109.275,99.539,84.906,76.538,71.784,68.622,68.411,63.198,67.030,65.376,74.169,58.600,41.000,16.492,11.662,9.487,0,19.849,38.210,47.802,57.140,58.009,63.812,61.270,64.078,60.166,54.406,58.249,73.824,85.006,74.545,94.541,98.737,56.604,32.894,24.698,31.780,41.785,57.140,39.825,25.942,21.378,38.118,40.817,50.567,58.873,73.246,98.884,74.148,55.731,38.471,115.261,121.807,117.068,138.827,160.100,164.560
Koblenz,108.208,126.063,128.798,118.533,104.561,95.079,90.471,87.321,86.729,80.050,82.735,80.225,90.802,77.897,59.237,35.355,31.401,26.000,19.849,0,18.601,28.653,38.484,38.949,45.188,43.681,47.074,43.566,39.013,44.102,60.133,73.348,65.552,90.443,98.290,57.009,31.623,26.000,19.698,26.000,37.590,41.231,36.125,38.949,54.083,60.000,69.116,76.942,92.418,117.661,86.023,68.264,49.254,105.948,111.826,105.721,132.382,151.822,157.309
Bonn,126.574,144.312,146.168,135.204,122.201,111.364,106.944,103.832,102.859,94.921,96.566,93.392,105.304,95.131,75.664,52.802,49.518,43.012,38.210,18.601,0,10.440,20.616,20.616,27.203,27.019,31.016,28.284,26.000,32.202,47.434,62.241,57.801,86.313,97.350,59.464,37.121,35.355,19.235,15.556,22.204,53.235,52.887,57.454,72.090,78.600,87.664,95.383,111.018,136.213,101.833,84.723,60.828,96.151,101.237,93.920,124.808,142.225,148.607
Koeln,135.882,153.444,154.402,142.888,130.729,118.849,114.586,111.517,110.277,101.553,102.528,98.980,111.615,103.407,83.487,61.555,58.796,51.662,47.802,28.653,10.440,0,10.198,10.296,16.763,17.117,21.378,19.313,19.105,25.495,39.357,54.708,52.345,82.201,94.826,59.841,40.608,40.853,23.087,14.036,20.248,63.032,63.325,67.602,82.462,88.482,97.755,105.589,120.930,146.291,112.147,95.126,66.098,88.837,93.477,85.615,118.406,134.718,141.510
Duesseldorf,144.693,162.052,162.111,150.083,138.773,125.925,121.828,118.811,117.324,107.912,108.259,104.389,117.618,111.288,91.049,70.093,67.801,60.208,57.140,38.484,20.616,10.198,0,3.162,6.708,8.062,12.530,12.042,15.524,21.024,32.016,47.634,47.707,78.390,92.477,61.000,45.310,47.170,29.411,18.358,24.042,73.000,73.498,77.369,92.477,97.944,107.424,115.382,130.384,155.913,122.332,105.323,71.589,81.609,85.755,77.369,111.946,127.094,134.272
Neuss,145.911,163.380,163.835,151.990,140.357,127.863,123.709,120.673,119.269,110.059,110.571,106.775,119.867,112.929,92.801,71.421,68.884,61.522,58.009,38.949,20.616,10.296,3.162,0,7.000,10.630,15.000,15.000,18.682,24.166,34.713,50.329,50.774,81.492,95.635,64.008,47.760,49.244,31.385,20.616,21.260,72.062,73.376,77.897,92.704,98.737,108.046,115.884,131.187,156.579,121.824,105.019,73.926,84.202,88.204,79.649,114.691,129.541,136.825
Duisburg,151.212,168.505,168.241,156.013,145.041,131.826,127.801,124.808,123.223,113.534,113.600,109.590,123.065,117.516,97.185,76.577,74.404,66.708,63.812,45.188,27.203,16.763,6.708,7.000,0,7.071,10.296,12.166,18.111,22.204,29.833,45.277,47.424,78.294,93.301,64.281,50.537,53.009,35.468,24.207,26.926,79.057,80.081,84.077,99.161,104.623,114.127,122.090,137.058,162.610,128.725,111.830,76.942,78.746,82.420,73.573,109.604,123.709,131.210
Essen,147.611,164.657,163.600,151.030,140.716,126.823,122.919,119.971,118.229,108.167,107.912,103.769,117.478,113.137,92.655,73.007,71.344,63.246,61.270,43.681,27.019,17.117,8.062,10.630,7.071,0,4.472,5.099,11.402,15.133,24.083,39.699,40.706,71.554,86.331,57.428,44.944,48.166,31.241,20.000,31.890,80.100,79.429,82.079,97.719,102.000,111.826,120.017,134.332,160.125,128.763,111.463,71.344,73.600,77.698,69.318,104.062,119.038,126.246
Gelsen-Kirchen,149.616,166.481,164.830,151.980,142.215,127.781,123.988,121.083,119.206,108.812,108.227,103.942,117.886,114.630,94.069,75.166,73.824,65.513,64.078,47.074,31.016,21.378,12.530,15.000,10.296,4.472,0,4.243,11.402,13.153,19.799,35.384,37.162,68.029,83.241,56.089,45.607,49.518,33.287,22.361,36.235,84.214,83.024,85.094,100.960,104.652,114.634,122.931,136.883,162.788,132.544,115.117,71.847,69.203,73.246,64.846,99.765,114.586,121.828
Bochum,145.427,162.265,160.590,147.757,137.975,123.556,119.754,116.846,114.978,104.623,104.101,99.850,113.741,110.390,89.828,71.021,69.771,61.400,60.166,43.566,28.284,19.313,12.042,15.000,12.166,5.099,4.243,0,7.211,10.050,20.248,35.805,35.847,66.648,81.271,52.612,41.400,45.277,29.155,18.385,36.069,81.498,79.630,81.271,97.268,100.648,110.693,119.038,132.834,158.777,129.314,111.759,67.676,69.893,74.303,66.310,100.005,115.603,122.589
Hagen,138.698,155.416,153.483,140.584,130.969,116.387,112.610,109.713,107.815,97.417,96.897,92.661,106.532,103.392,82.807,64.498,63.561,55.009,54.406,39.013,26.000,19.105,15.524,18.682,18.111,11.402,11.402,7.211,0,6.403,21.587,36.249,33.302,63.514,77.078,46.174,34.205,38.288,22.847,13.038,38.275,78.447,75.107,75.690,91.984,94.541,104.752,113.217,126.574,152.611,125.036,107.229,60.465,70.235,75.240,68.007,99.403,116.276,122.801
Dortmund,140.663,157.051,154.175,140.858,132.136,116.726,113.137,110.318,108.208,97.309,96.260,91.810,106.019,104.637,84.024,67.119,66.731,57.940,58.249,44.102,32.202,25.495,21.024,24.166,22.204,15.133,13.153,10.050,6.403,0,16.031,30.083,27.019,57.454,71.512,42.953,34.713,39.962,26.476,18.248,44.407,84.172,80.000,79.624,96.177,97.739,108.157,116.760,129.468,155.618,130.004,112.040,60.308,63.953,69.080,62.097,93.005,110.023,116.469
Muenster,153.951,169.812,165.424,151.427,144.267,127.562,124.326,121.659,119.206,107.517,105.475,100.658,115.365,117.047,96.566,81.597,81.744,72.801,73.824,60.133,47.434,39.357,32.016,34.713,29.833,24.083,19.799,20.248,21.587,16.031,0,15.620,20.025,50.000,66.611,48.021,47.413,53.852,42.190,34.234,55.973,100.020,96.005,95.189,111.879,112.641,123.227,131.939,143.962,170.188,146.014,128.016,71.063,49.649,54.120,46.487,79.981,95.383,102.343
Osnabrueck,160.328,175.317,168.929,154.201,149.094,130.920,128.160,125.718,122.874,110.436,107.299,102.176,117.154,122.540,102.552,90.609,91.662,82.608,85.006,73.348,62.241,54.708,47.634,50.329,45.277,39.699,35.384,35.805,36.249,30.083,15.620,0,14.866,38.053,56.080,48.270,55.317,62.801,54.332,48.083,71.589,114.018,108.559,106.118,123.065,122.000,132.834,141.718,152.345,178.572,158.455,140.228,75.591,34.132,39.000,32.388,64.382,80.062,86.822
Bielefeld,146.328,161.012,154.208,139.402,134.648,116.211,113.534,111.140,108.227,95.692,92.455,87.321,102.303,108.337,88.600,78.313,80.006,71.000,74.545,65.552,57.801,52.345,47.707,50.774,47.424,40.706,37.162,35.847,33.302,27.019,20.025,14.866,0,30.871,46.690,33.422,43.046,51.000,45.880,42.438,71.400,106.775,99.247,95.131,112.161,109.659,120.599,129.557,139.270,165.424,148.637,130.250,61.327,40.792,47.265,43.290,67.231,86.331,91.788
Hannover,151.251,163.487,152.463,136.565,136.561,115.741,114.285,112.539,108.931,95.603,90.139,84.758,99.161,113.137,96.047,93.392,96.840,88.544,94.541,90.443,86.313,82.201,78.390,81.492,78.294,71.554,68.029,66.648,63.514,57.454,50.000,38.053,30.871,0,18.682,39.623,61.741,69.857,71.218,70.767,101.789,131.027,120.420,112.929,129.541,123.045,133.959,142.899,149.013,174.287,167.631,149.265,69.065,33.601,41.049,44.598,45.398,69.007,71.568
Braunschweig,144.222,154.871,141.760,125.575,128.133,106.532,105.802,104.480,100.603,87.367,80.895,75.664,89.051,107.019,92.228,94.430,98.838,91.417,98.737,98.290,97.350,94.826,92.477,95.635,93.301,86.331,83.241,81.271,77.078,71.512,66.611,56.080,46.690,18.682,0,42.202,67.357,74.813,80.281,82.152,114.935,137.277,124.555,114.935,130.782,121.840,132.439,141.156,144.886,169.189,169.260,151.212,67.357,49.679,56.586,61.855,51.420,76.400,76.531
Kassel,114.843,128.693,120.950,106.019,102.044,83.006,80.529,78.262,75.180,62.434,59.034,53.907,68.884,76.538,57.871,53.852,57.585,49.659,56.604,57.009,59.464,59.841,61.000,64.008,64.281,57.428,56.089,52.612,46.174,42.953,48.021,48.270,33.422,39.623,42.202,0,25.495,32.650,40.719,45.891,79.831,95.131,82.492,73.736,90.139,83.487,94.430,103.392,110.368,136.066,128.413,110.136,30.265,67.268,74.733,73.736,85.000,108.167,111.158
Marburg,106.550,122.589,119.503,106.405,97.453,82.219,78.518,75.664,73.661,63.246,63.063,59.093,72.560,70.000,49.406,35.355,37.014,28.071,32.894,31.623,37.121,40.608,45.310,47.760,50.537,44.944,45.607,41.400,34.205,34.713,47.413,55.317,43.046,61.741,67.357,25.495,0,8.246,18.000,27.203,59.000,70.000,58.694,52.469,69.462,66.753,77.647,86.579,97.124,123.369,106.733,88.295,26.420,83.217,90.050,86.284,105.948,127.475,131.735
Giessen,100.703,117.201,115.434,103.005,92.698,78.816,74.813,71.840,70.214,60.828,61.685,58.241,70.774,65.115,44.553,27.893,29.017,20.000,24.698,26.000,35.355,40.853,47.170,49.244,53.009,48.166,49.518,45.277,38.288,39.962,53.852,62.801,51.000,69.857,74.813,32.650,8.246,0,17.889,28.844,57.559,62.482,50.567,44.283,61.294,59.228,70.036,78.918,90.139,116.379,98.489,80.050,25.495,91.351,98.127,94.133,114.180,135.713,139.979
Siegen,116.400,133.417,132.774,120.673,109.622,96.519,92.418,89.404,87.920,78.715,79.480,75.895,88.640,82.073,61.717,41.881,40.719,32.249,31.780,19.698,19.235,23.087,29.411,31.385,35.468,31.241,33.287,29.155,22.847,26.476,42.190,54.332,45.880,71.218,80.281,40.719,18.000,17.889,0,11.314,41.000,60.926,54.231,53.151,69.721,71.694,81.933,90.443,103.755,129.769,104.173,86.023,43.012,86.400,92.418,86.701,112.699,132.189,137.615
Gummersburg,127.613,144.693,144.045,131.826,120.934,107.648,103.600,100.603,99.045,89.554,89.961,86.163,99.282,93.381,73.000,53.009,51.478,43.267,41.785,26.000,15.556,14.036,18.358,20.616,24.207,20.000,22.361,18.385,13.038,18.248,34.234,48.083,42.438,70.767,82.152,45.891,27.203,28.844,11.314,0,33.956,65.970,62.073,62.936,79.076,82.292,92.309,100.658,114.529,140.428,112.018,94.191,53.310,81.541,86.977,80.281,109.604,127.632,133.724
Aachen,144.810,162.890,166.355,156.080,142.042,132.503,127.953,124.812,124.085,116.692,118.600,115.521,127.201,115.486,96.664,72.945,68.797,63.506,57.140,37.590,22.204,20.248,24.042,21.260,26.926,31.890,36.235,36.069,38.275,44.407,55.973,71.589,71.400,101.789,114.935,79.831,59.000,57.559,41.000,33.956,0,58.523,64.900,73.539,85.802,95.483,103.392,110.259,127.350,151.489,109.731,94.430,83.024,105.423,109.289,100.499,135.949,150.602,158.003
Saarbruecken,101.020,119.231,129.294,123.685,104.924,104.019,99.020,96.047,97.252,96.104,101.651,101.193,106.888,84.000,72.780,51.478,45.188,48.826,39.825,41.231,53.235,63.032,73.000,72.062,79.057,80.100,84.214,81.498,78.447,84.172,100.020,114.018,106.775,131.027,137.277,95.131,70.000,62.482,60.926,65.970,58.523,0,19.105,35.228,36.401,52.953,56.080,60.033,79.177,99.639,51.264,37.202,77.936,147.054,152.778,146.250,173.566,193.003,198.540
Kaiserslautern,84.534,102.883,111.400,105.076,86.833,85.000,80.000,77.006,78.160,77.130,82.861,82.638,87.864,65.031,53.852,33.838,27.803,33.422,25.942,36.125,52.887,63.325,73.498,73.376,80.081,79.429,83.024,79.630,75.107,80.000,96.005,108.559,99.247,120.420,124.555,82.492,58.694,50.567,54.231,62.073,64.900,19.105,0,16.125,21.213,35.114,40.224,45.967,64.203,87.046,50.010,32.140,61.620,140.036,146.328,140.911,164.469,185.324,190.066
Mannheim,71.847,90.139,96.799,89.627,72.111,69.029,64.031,61.008,62.073,61.131,67.067,67.119,71.805,49.163,37.947,20.809,16.155,24.515,21.378,38.949,57.454,67.602,77.369,77.897,84.077,82.079,85.094,81.271,75.690,79.624,95.189,106.118,95.131,112.929,114.935,73.736,52.469,44.283,53.151,62.936,73.539,35.228,16.125,0,17.029,22.023,30.232,38.013,53.907,78.772,54.708,36.401,49.204,135.624,142.352,138.000,157.892,179.869,183.861
Karlsruhe,64.622,82.855,93.381,89.000,69.354,71.589,66.708,64.031,66.098,68.476,75.472,76.609,78.294,51.662,47.011,36.401,32.757,41.437,38.118,54.083,72.090,82.462,92.477,92.704,99.161,97.719,100.960,97.268,91.984,96.177,111.879,123.065,112.161,129.541,130.782,90.139,69.462,61.294,69.721,79.076,85.802,36.401,21.213,17.029,0,18.248,19.698,24.759,43.267,65.856,38.484,20.809,64.008,152.643,159.380,155.003,174.642,196.787,200.661
Heilbronn,49.930,68.264,76.400,71.063,51.971,53.367,48.508,45.880,48.104,51.614,59.034,60.828,60.902,33.526,32.202,31.401,31.016,39.850,40.817,60.000,78.600,88.482,97.944,98.737,104.623,102.000,104.652,100.648,94.541,97.739,112.641,122.000,109.659,123.045,121.840,83.487,66.753,59.228,71.694,82.292,95.483,52.953,35.114,22.023,18.248,0,11.000,20.000,32.450,58.138,50.990,36.056,54.571,149.054,156.157,152.948,168.443,191.588,194.612
Stuttgart,44.944,63.159,74.431,71.449,51.010,56.859,52.326,50.120,53.000,58.694,66.483,68.884,67.007,38.275,41.593,42.297,41.485,50.448,50.567,69.116,87.664,97.755,107.424,108.046,114.127,111.826,114.634,110.693,104.752,108.157,123.227,132.834,120.599,133.959,132.439,94.430,77.647,70.036,81.933,92.309,103.392,56.080,40.224,30.232,19.698,11.000,0,9.000,24.083,48.549,43.417,31.321,65.307,160.050,167.147,163.884,179.354,202.556,205.526
Reutlingen,42.579,60.166,74.007,73.007,51.971,61.057,56.859,55.000,58.258,65.299,73.246,76.026,72.863,43.863,49.769,51.245,50.220,59.228,58.873,76.942,95.383,105.589,115.382,115.884,122.090,120.017,122.931,119.038,113.217,116.760,131.939,141.718,129.557,142.899,141.156,103.392,86.579,78.918,90.443,100.658,110.259,60.033,45.967,38.013,24.759,20.000,9.000,0,19.313,41.231,38.471,30.000,74.148,169.047,176.139,172.838,188.290,211.533,214.462
Ulm,24.000,41.000,56.569,58.181,37.121,51.740,48.600,47.707,51.624,61.847,69.857,73.736,66.888,39.560,53.009,62.394,63.063,71.589,73.246,92.418,111.018,120.930,130.384,131.187,137.058,134.332,136.883,132.834,126.574,129.468,143.962,152.345,139.270,149.013,144.886,110.368,97.124,90.139,103.755,114.529,127.350,79.177,64.203,53.907,43.267,32.450,24.083,19.313,0,26.249,53.151,48.508,80.156,177.370,184.700,182.390,194.041,218.021,220.111
Kempten,29.682,35.777,58.249,66.528,48.877,69.080,67.357,67.446,71.568,83.546,91.220,95.708,86.331,62.290,78.313,88.600,89.051,97.693,98.884,117.661,136.213,146.291,155.913,156.579,162.610,160.125,162.788,158.777,152.611,155.618,170.188,178.572,165.424,174.287,169.189,136.066,123.369,116.379,129.769,140.428,151.489,99.639,87.046,78.772,65.856,58.138,48.549,41.231,26.249,0,61.612,64.498,105.802,203.226,210.602,208.483,219.037,243.249,245.002
Freiburg,76.792,92.022,109.659,110.680,89.493,99.479,95.189,93.193,96.260,101.980,109.659,111.732,110.422,81.609,83.096,74.847,70.838,79.120,74.148,86.023,101.833,112.147,122.332,121.824,128.725,128.763,132.544,129.314,125.036,130.004,146.014,158.455,148.637,167.631,169.260,128.413,106.733,98.489,104.173,112.018,109.731,51.264,50.010,54.708,38.484,50.990,43.417,38.471,53.151,61.612,0,18.439,102.421,189.391,195.870,190.759,212.511,234.184,238.416
Offenburg,72.339,89.443,104.005,102.421,81.615,88.023,83.385,81.025,83.630,87.658,95.000,96.540,96.897,68.877,67.209,56.798,52.555,60.729,55.731,68.264,84.723,95.126,105.323,105.019,111.830,111.463,115.117,111.759,107.229,112.040,128.016,140.228,130.250,149.265,151.212,110.136,88.295,80.050,86.023,94.191,94.430,37.202,32.140,36.401,20.809,36.056,31.321,30.000,48.508,64.498,18.439,0,84.723,170.988,177.496,172.491,194.095,215.745,219.986
Fulda,85.094,99.730,94.366,80.623,73.573,56.586,53.263,50.606,48.166,37.014,36.674,32.894,46.141,47.011,27.659,28.425,33.941,29.155,38.471,49.254,60.828,66.098,71.589,73.926,76.942,71.344,71.847,67.676,60.465,60.308,71.063,75.591,61.327,69.065,67.357,30.265,26.420,25.495,43.012,53.310,83.024,77.936,61.620,49.204,64.008,54.571,65.307,74.148,80.156,105.802,102.421,84.723,0,97.494,104.924,103.446,114.355,138.014,140.513
Bremen,181.912,195.113,185.224,169.496,168.244,148.003,146.185,144.222,140.801,127.581,122.654,117.273,131.947,143.586,125.132,118.004,120.204,111.288,115.261,105.948,96.151,88.837,81.609,84.202,78.746,73.600,69.203,69.893,70.235,63.953,49.649,34.132,40.792,33.601,49.679,67.268,83.217,91.351,86.400,81.541,105.423,147.054,140.036,135.624,152.643,149.054,160.050,169.047,177.370,203.226,189.391,170.988,97.494,0,7.616,13.342,31.623,46.098,52.697
Bremen,189.447,202.704,192.837,177.102,175.841,155.618,153.792,151.822,148.408,135.192,130.269,124.888,139.556,151.119,132.575,125.016,127.063,118.106,121.807,111.826,101.237,93.477,85.755,88.204,82.420,77.698,73.246,74.303,75.240,69.080,54.120,39.000,47.265,41.049,56.586,74.733,90.050,98.127,92.418,86.977,109.289,152.778,146.328,142.352,159.380,156.157,167.147,176.139,184.700,210.602,195.870,177.496,104.924,7.616,0,10.770,31.016,41.340,48.918
