,Augsburg,Bielefeld,Bochum,Bremen,Darmstadt,Essen,Freiburg,Giessen,Hamburg,Hannover,Heilbronn,Kaiserslautern,Karlsruhe,Kassel,Kempten,Koblenz,Koeln,Landshut,Lichtenfels,Mainz,Muenchen,Muenster,Neuss,Nuernburg,Oldenburg,Regensburg,Rendsburg,Stuttgart,Ulm,Wuerzburg,Aachen,Ansbach,Aschaffenburg,Bamberg,Bayreuth,Bonn,Braunschweig,Bremen,Coburg,Dortmund,Duesseldorf,Duisburg,Erlangen,Frankfurt,Fulda,Fuerth,Gelsen-Kirchen,Gummersburg,Hagen,Hersbruck,Ingolstadt,Kiel,Mannheim,Marburg,Offenburg,Osnabrueck,Reutlingen,Saarbruecken,Siegen
Heilbronn,49.930,109.659,100.648,149.054,31.016,102.000,50.990,59.228,168.443,123.045,0,35.114,18.248,83.487,58.138,60.000,88.482,76.400,59.034,40.817,68.264,112.641,98.737,48.508,152.948,71.063,191.588,11.000,32.450,32.202,95.483,33.526,31.401,51.614,60.902,78.600,121.840,156.157,60.828,97.739,97.944,104.623,48.104,39.850,54.571,45.880,104.652,82.292,94.541,53.367,51.971,194.612,22.023,66.753,36.056,122.000,20.000,52.953,71.694
Kaiserslautern,84.534,99.247,79.630,140.036,27.803,79.429,50.010,50.567,164.469,120.420,35.114,0,21.213,82.492,87.046,36.125,63.325,111.400,82.861,25.942,102.883,96.005,73.376,80.000,140.911,105.076,185.324,40.224,64.203,53.852,64.900,65.031,33.838,77.130,87.864,52.887,124.555,146.328,82.638,80.000,73.498,80.081,78.160,33.422,61.620,77.006,83.024,62.073,75.107,85.000,86.833,190.066,16.125,58.694,32.140,108.559,45.967,19.105,54.231
Karlsruhe,64.622,112.161,97.268,152.643,32.757,97.719,38.484,61.294,174.642,129.541,18.248,21.213,0,90.139,65.856,54.083,82.462,93.381,75.472,38.118,82.855,111.879,92.704,66.708,155.003,89.000,196.787,19.698,43.267,47.011,85.802,51.662,36.401,68.476,78.294,72.090,130.782,159.380,76.609,96.177,92.477,99.161,66.098,41.437,64.008,64.031,100.960,79.076,91.984,71.589,69.354,200.661,17.029,69.462,20.809,123.065,24.759,36.401,69.721
Kassel,114.843,33.422,52.612,67.268,57.585,57.428,128.413,32.650,85.000,39.623,83.487,82.492,90.139,0,136.066,57.009,59.841,120.950,59.034,56.604,128.693,48.021,64.008,80.529,73.736,106.019,108.167,94.430,110.368,57.871,79.831,76.538,53.852,62.434,68.884,59.464,42.202,74.733,53.907,42.953,61.000,64.281,75.180,49.659,30.265,78.262,56.089,45.891,46.174,83.006,102.044,111.158,73.736,25.495,110.136,48.270,103.392,95.131,40.719
Kempten,29.682,165.424,158.777,203.226,89.051,160.125,61.612,116.379,219.037,174.287,58.138,87.046,65.856,136.066,0,117.661,146.291,58.249,91.220,98.884,35.777,170.188,156.579,67.357,208.483,66.528,243.249,48.549,26.249,78.313,151.489,62.290,88.600,83.546,86.331,136.213,169.189,210.602,95.708,155.618,155.913,162.610,71.568,97.693,105.802,67.446,162.788,140.428,152.611,69.080,48.877,245.002,78.772,123.369,64.498,178.572,41.231,99.639,129.769
Koblenz,108.208,65.552,43.566,105.948,31.401,43.681,86.023,26.000,132.382,90.443,60.000,36.125,54.083,57.009,117.661,0,28.653,128.798,82.735,19.849,126.063,60.133,38.949,90.471,105.721,118.533,151.822,69.116,92.418,59.237,37.590,77.897,35.355,80.050,90.802,18.601,98.290,111.826,80.225,44.102,38.484,45.188,86.729,26.000,49.254,87.321,47.074,26.000,39.013,95.079,104.561,157.309,38.949,31.623,68.264,73.348,76.942,41.231,19.698
Koeln,135.882,52.345,19.313,88.837,58.796,17.117,112.147,40.853,118.406,82.201,88.482,63.325,82.462,59.841,146.291,28.653,0,154.402,102.528,47.802,153.444,39.357,10.296,114.586,85.615,142.888,134.718,97.755,120.930,83.487,20.248,103.407,61.555,101.553,111.615,10.440,94.826,93.477,98.980,25.495,10.198,16.763,110.277,51.662,66.098,111.517,21.378,14.036,19.105,118.849,130.729,141.510,67.602,40.608,95.126,54.708,105.589,63.032,23.087
Landshut,32.985,154.208,160.590,185.224,97.617,163.600,109.659,115.434,193.132,152.463,76.400,111.400,93.381,120.950,58.249,128.798,154.402,0,62.610,109.275,23.345,165.424,163.835,41.110,193.706,16.279,218.131,74.431,56.569,71.063,166.355,51.039,93.493,58.523,53.310,146.168,141.760,192.837,67.978,154.175,162.111,168.241,46.228,103.175,94.366,43.863,164.830,144.045,153.483,38.013,24.698,217.589,96.799,119.503,104.005,168.929,74.007,129.294,132.774
Lichtenfels,64.125,92.455,104.101,122.654,57.559,107.912,109.659,61.685,132.197,90.139,59.034,82.861,75.472,59.034,91.220,82.735,102.528,62.610,0,67.030,73.980,105.475,110.571,25.020,131.126,47.170,157.089,66.483,69.857,29.155,118.600,30.414,51.352,8.062,9.899,96.566,80.895,130.269,5.385,96.260,108.259,113.600,20.025,58.009,36.674,24.083,108.227,89.961,96.897,25.710,47.265,157.407,67.067,63.063,95.000,107.299,73.246,101.651,79.480
Mainz,88.391,74.545,60.166,115.261,11.662,61.270,74.148,24.698,138.827,94.541,40.817,25.942,38.118,56.604,98.884,19.849,47.802,109.275,67.030,0,106.217,73.824,58.009,71.784,117.068,99.539,160.100,50.567,73.246,41.000,57.140,58.600,16.492,63.198,74.169,38.210,98.737,121.807,65.376,58.249,57.140,63.812,68.411,9.487,38.471,68.622,64.078,41.785,54.406,76.538,84.906,164.560,21.378,32.894,55.731,85.006,58.873,39.825,31.780
Muenchen,18.358,161.012,162.265,195.113,94.795,164.657,92.022,117.201,206.167,163.487,68.264,102.883,82.855,128.693,35.777,126.063,153.444,23.345,73.980,106.217,0,169.812,163.380,49.244,202.408,35.468,231.037,63.159,41.000,73.246,162.890,52.839,91.967,67.912,66.189,144.312,154.871,202.704,79.246,157.051,162.052,168.505,54.571,101.863,99.730,50.961,166.481,144.693,155.416,48.374,26.926,231.366,90.139,122.589,89.443,175.317,60.166,119.231,133.417
Muenster,153.951,20.025,20.248,49.649,81.744,24.083,146.014,53.852,79.981,50.000,112.641,96.005,111.879,48.021,170.188,60.133,39.357,165.424,105.475,73.824,169.812,0,34.713,124.326,46.487,151.427,95.383,123.227,143.962,96.566,55.973,117.047,81.597,107.517,115.365,47.434,66.611,54.120,100.658,16.031,32.016,29.833,119.206,72.801,71.063,121.659,19.799,34.234,21.587,127.562,144.267,102.343,95.189,47.413,128.016,15.620,131.939,100.020,42.190
Neuss,145.911,50.774,15.000,84.202,68.884,10.630,121.824,49.244,114.691,81.492,98.737,73.376,92.704,64.008,156.579,38.949,10.296,163.835,110.571,58.009,163.380,34.713,0,123.709,79.649,151.990,129.541,108.046,131.187,92.801,21.260,112.929,71.421,110.059,119.867,20.616,95.635,88.204,106.775,24.166,3.162,7.000,119.269,61.522,73.926,120.673,15.000,20.616,18.682,127.863,140.357,136.825,77.897,47.760,105.019,50.329,115.884,72.062,31.385
Nuernburg,39.319,113.534,119.754,146.185,60.440,122.919,95.189,74.813,157.003,114.285,48.508,80.000,66.708,80.529,67.357,90.471,114.586,41.110,25.020,71.784,49.244,124.326,123.709,0,153.935,28.302,181.838,52.326,48.600,31.305,127.953,15.133,55.362,18.682,18.974,106.944,105.802,153.792,30.150,113.137,121.828,127.801,5.385,64.475,53.263,3.162,123.988,103.600,112.610,5.000,22.361,182.332,64.031,78.518,83.385,128.160,56.859,99.020,92.418
Oldenburg,188.473,43.290,66.310,13.342,123.146,69.318,190.759,94.133,41.785,44.598,152.948,140.911,155.003,73.736,208.483,105.721,85.615,193.706,131.126,117.068,202.408,46.487,79.649,153.935,0,178.239,50.448,163.884,182.390,131.042,100.499,150.217,121.594,135.518,140.656,93.920,61.855,10.770,125.782,62.097,77.369,73.573,148.556,114.110,103.446,151.796,64.846,80.281,68.007,156.080,175.693,58.694,138.000,86.284,172.491,32.388,172.838,146.250,86.701
Regensburg,37.643,139.402,147.757,169.496,88.023,151.030,110.680,103.005,176.921,136.565,71.063,105.076,89.000,106.019,66.528,118.533,142.888,16.279,47.170,99.539,35.468,151.427,151.990,28.302,178.239,0,201.921,71.449,58.181,59.540,156.080,41.110,83.259,43.932,37.590,135.204,125.575,177.102,52.479,140.858,150.083,156.013,32.802,92.574,80.623,31.385,151.980,131.826,140.584,24.207,21.190,201.326,89.627,106.405,102.421,154.201,73.007,123.685,120.673
Rendsburg,219.666,86.331,115.603,46.098,164.073,119.038,234.184,135.713,25.000,69.007,191.588,185.324,196.787,108.167,243.249,151.822,134.718,218.131,157.089,160.100,231.037,95.383,129.541,181.838,50.448,201.921,0,202.556,218.021,165.048,150.602,181.797,161.245,163.248,165.424,142.225,76.400,41.340,151.796,110.023,127.094,123.709,176.567,155.364,138.014,180.347,114.586,127.632,116.276,182.784,204.198,10.198,179.869,127.475,215.745,80.062,211.533,193.003,132.189
Stuttgart,44.944,120.599,110.693,160.050,41.485,111.826,43.417,70.036,179.354,133.959,11.000,40.224,19.698,94.430,48.549,69.116,97.755,74.431,66.483,50.567,63.159,123.227,108.046,52.326,163.884,71.449,202.556,0,24.083,41.593,103.392,38.275,42.297,58.694,67.007,87.664,132.439,167.147,68.884,108.157,107.424,114.127,53.000,50.448,65.307,50.120,114.634,92.309,104.752,56.859,51.010,205.526,30.232,77.647,31.321,132.834,9.000,56.080,81.933
Ulm,24.000,139.270,132.834,177.370,63.063,134.332,53.151,90.139,194.041,149.013,32.450,64.203,43.267,110.368,26.249,92.418,120.930,56.569,69.857,73.246,41.000,143.962,131.187,48.600,182.390,58.181,218.021,24.083,0,53.009,127.350,39.560,62.394,61.847,66.888,111.018,144.886,184.700,73.736,129.468,130.384,137.058,51.624,71.589,80.156,47.707,136.883,114.529,126.574,51.740,37.121,220.111,53.907,97.124,48.508,152.345,19.313,79.177,103.755
Wuerzburg,57.775,88.600,89.828,125.132,30.150,92.655,83.096,44.553,141.032,96.047,32.202,53.852,47.011,57.871,78.313,59.237,83.487,71.063,29.155,41.000,73.246,96.566,92.801,31.305,131.042,59.540,165.048,41.593,53.009,0,96.664,20.616,24.515,23.345,34.234,75.664,92.228,132.575,29.682,84.024,91.049,97.185,27.514,33.242,27.659,28.178,94.069,73.000,82.807,35.847,48.166,167.108,37.947,49.406,67.209,102.552,49.769,72.780,61.717
Aachen,144.810,71.400,36.069,105.423,68.797,31.890,109.731,57.559,135.949,101.789,95.483,64.900,85.802,79.831,151.489,37.590,20.248,166.355,118.600,57.140,162.890,55.973,21.260,127.953,100.499,156.080,150.602,103.392,127.350,96.664,0,115.486,72.945,116.692,127.201,22.204,114.935,109.289,115.521,44.407,24.042,26.926,124.085,63.506,83.024,124.812,36.235,33.956,38.275,132.503,142.042,158.003,73.539,59.000,94.430,71.589,110.259,58.523,41.000
Ansbach,38.328,108.337,110.390,143.586,47.011,113.137,81.609,65.115,157.318,113.137,33.526,65.031,51.662,76.538,62.290,77.897,103.407,51.039,30.414,58.600,52.839,117.047,112.929,15.133,150.217,41.110,181.797,38.275,39.560,20.616,115.486,0,42.544,22.361,29.000,95.131,107.019,151.119,34.176,104.637,111.288,117.516,14.765,52.154,47.011,12.369,114.630,93.381,103.392,20.100,27.586,183.134,49.163,70.000,68.877,122.540,43.863,84.000,82.073
Aschaffenburg,74.653,78.313,71.021,118.004,6.325,73.007,74.847,27.893,138.654,93.392,31.401,33.838,36.401,53.852,88.600,35.355,61.555,93.493,51.352,16.492,91.967,81.597,71.421,55.362,121.594,83.259,161.245,42.297,62.394,24.515,72.945,42.544,0,47.011,58.009,52.802,94.430,125.016,50.220,67.119,70.093,76.577,51.923,9.899,28.425,52.202,75.166,53.009,64.498,60.083,69.405,164.754,20.809,35.355,56.798,90.609,51.245,51.478,41.881
Bamberg,57.000,95.692,104.623,127.581,53.009,108.167,101.980,60.828,138.452,95.603,51.614,77.130,68.476,62.434,83.546,80.050,101.553,58.523,8.062,63.198,67.912,107.517,110.059,18.682,135.518,43.932,163.248,58.694,61.847,23.345,116.692,22.361,47.011,0,11.000,94.921,87.367,135.192,12.166,97.309,107.912,113.534,13.342,54.589,37.014,17.117,108.812,89.554,97.417,20.591,41.000,163.884,61.131,63.246,87.658,110.436,65.299,96.104,78.715
Bayreuth,58.052,102.303,113.741,131.947,64.008,117.478,110.422,70.774,140.464,99.161,60.902,87.864,78.294,68.884,86.331,90.802,111.615,53.310,9.899,74.169,66.189,115.365,119.867,18.974,140.656,37.590,165.424,67.007,66.888,34.234,127.201,29.000,58.009,11.000,0,105.304,89.051,139.556,15.000,106.019,117.618,123.065,15.264,65.490,46.141,19.235,117.886,99.282,106.532,18.028,40.050,165.387,71.805,72.560,96.897,117.154,72.863,106.888,88.640
Bonn,126.574,57.801,28.284,96.151,49.518,27.019,101.833,35.355,124.808,86.313,78.600,52.887,72.090,59.464,136.213,18.601,10.440,146.168,96.566,38.210,144.312,47.434,20.616,106.944,93.920,135.204,142.225,87.664,111.018,75.664,22.204,95.131,52.802,94.921,105.304,0,97.350,101.237,93.392,32.202,20.616,27.203,102.859,43.012,60.828,103.832,31.016,15.556,26.000,111.364,122.201,148.607,57.454,37.121,84.723,62.241,95.383,53.235,19.235
Braunschweig,144.222,46.690,81.271,49.679,98.838,86.331,169.260,74.813,51.420,18.682,121.840,124.555,130.782,42.202,169.189,98.290,94.826,141.760,80.895,98.737,154.871,66.611,95.635,105.802,61.855,125.575,76.400,132.439,144.886,92.228,114.935,107.019,94.430,87.367,89.051,97.350,0,56.586,75.664,71.512,92.477,93.301,100.603,91.417,67.357,104.480,83.241,82.152,77.078,106.532,128.133,76.531,114.935,67.357,151.212,56.080,141.156,137.277,80.281
Bremen,189.447,47.265,74.303,7.616,127.063,77.698,195.870,98.127,31.016,41.049,156.157,146.328,159.380,74.733,210.602,111.826,93.477,192.837,130.269,121.807,202.704,54.120,88.204,153.792,10.770,177.102,41.340,167.147,184.700,132.575,109.289,151.119,125.016,135.192,139.556,101.237,56.586,0,124.888,69.080,85.755,82.420,148.408,118.106,104.924,151.822,73.246,86.977,75.240,155.618,175.841,48.918,142.352,90.050,177.496,39.000,176.139,152.778,92.418
Coburg,69.029,87.321,99.850,117.273,56.515,103.769,111.732,58.241,126.921,84.758,60.828,82.638,76.609,53.907,95.708,80.225,98.980,67.978,5.385,65.376,79.246,100.658,106.775,30.150,125.782,52.479,151.796,68.884,73.736,29.682,115.521,34.176,50.220,12.166,15.000,93.392,75.664,124.888,0,91.810,104.389,109.590,25.020,56.143,32.894,29.000,103.942,86.163,92.661,31.048,52.469,152.191,67.119,59.093,96.540,102.176,76.026,101.193,75.895
Dortmund,140.663,27.019,10.050,63.953,66.731,15.133,130.004,39.962,93.005,57.454,97.739,80.000,96.177,42.953,155.618,44.102,25.495,154.175,96.260,58.249,157.051,16.031,24.166,113.137,62.097,140.858,110.023,108.157,129.468,84.024,44.407,104.637,67.119,97.309,106.019,32.202,71.512,69.080,91.810,0,21.024,22.204,108.208,57.940,60.308,110.318,13.153,18.248,6.403,116.726,132.136,116.469,79.624,34.713,112.040,30.083,116.760,84.172,26.476
Duesseldorf,144.693,47.707,12.042,81.609,67.801,8.062,122.332,47.170,111.946,78.390,97.944,73.498,92.477,61.000,155.913,38.484,10.198,162.111,108.259,57.140,162.052,32.016,3.162,121.828,77.369,150.083,127.094,107.424,130.384,91.049,24.042,111.288,70.093,107.912,117.618,20.616,92.477,85.755,104.389,21.024,0,6.708,117.324,60.208,71.589,118.811,12.530,18.358,15.524,125.925,138.773,134.272,77.369,45.310,105.323,47.634,115.382,73.000,29.411
Duisburg,151.212,47.424,12.166,78.746,74.404,7.071,128.725,53.009,109.604,78.294,104.623,80.081,99.161,64.281,162.610,45.188,16.763,168.241,113.600,63.812,168.505,29.833,7.000,127.801,73.573,156.013,123.709,114.127,137.058,97.185,26.926,117.516,76.577,113.534,123.065,27.203,93.301,82.420,109.590,22.204,6.708,0,123.223,66.708,76.942,124.808,10.296,24.207,18.111,131.826,145.041,131.210,84.077,50.537,111.830,45.277,122.090,79.057,35.468
Erlangen,44.102,108.227,114.978,140.801,57.271,118.229,96.260,70.214,151.753,108.931,48.104,78.160,66.098,75.180,71.568,86.729,110.277,46.228,20.025,68.411,54.571,119.206,119.269,5.385,148.556,32.802,176.567,53.000,51.624,27.514,124.085,14.765,51.923,13.342,15.264,102.859,100.603,148.408,25.020,108.208,117.324,123.223,0,60.745,48.166,4.123,119.206,99.045,107.815,8.602,27.659,177.133,62.073,73.661,83.630,122.874,58.258,97.252,87.920
Frankfurt,84.504,71.000,61.400,111.288,9.055,63.246,79.120,20.000,133.405,88.544,39.850,33.422,41.437,49.659,97.693,26.000,51.662,103.175,58.009,9.487,101.863,72.801,61.522,64.475,114.110,92.574,155.364,50.448,71.589,33.242,63.506,52.154,9.899,54.589,65.490,43.012,91.417,118.106,56.143,57.940,60.208,66.708,60.745,0,29.155,61.327,65.513,43.267,55.009,69.080,79.202,159.355,24.515,28.071,60.729,82.608,59.228,48.826,32.249
Fulda,85.094,61.327,67.676,97.494,33.941,71.344,102.421,25.495,114.355,69.065,54.571,61.620,64.008,30.265,105.802,49.254,66.098,94.366,36.674,38.471,99.730,71.063,73.926,53.263,103.446,80.623,138.014,65.307,80.156,27.659,83.024,47.011,28.425,37.014,46.141,60.828,67.357,104.924,32.894,60.308,71.589,76.942,48.166,29.155,0,50.606,71.847,53.310,60.465,56.586,73.573,140.513,49.204,26.420,84.723,75.591,74.148,77.936,43.012
Fuerth,40.050,111.140,116.846,144.222,57.280,119.971,93.193,71.840,155.563,112.539,45.880,77.006,64.031,78.262,67.446,87.321,111.517,43.863,24.083,68.622,50.961,121.659,120.673,3.162,151.796,31.385,180.347,50.120,47.707,28.178,124.812,12.369,52.202,17.117,19.235,103.832,104.480,151.822,29.000,110.318,118.811,124.808,4.123,61.327,50.606,0,121.083,100.603,109.713,8.062,24.042,181.000,61.008,75.664,81.025,125.718,55.000,96.047,89.404
Gelsen-Kirchen,149.616,37.162,4.243,69.203,73.824,4.472,132.544,49.518,99.765,68.029,104.652,83.024,100.960,56.089,162.788,47.074,21.378,164.830,108.227,64.078,166.481,19.799,15.000,123.988,64.846,151.980,114.586,114.634,136.883,94.069,36.235,114.630,75.166,108.812,117.886,31.016,83.241,73.246,103.942,13.153,12.530,10.296,119.206,65.513,71.847,121.083,0,22.361,11.402,127.781,142.215,121.828,85.094,45.607,115.117,35.384,122.931,84.214,33.287
Gummersburg,127.613,42.438,18.385,81.541,51.478,20.000,112.018,28.844,109.604,70.767,82.292,62.073,79.076,45.891,140.428,26.000,14.036,144.045,89.961,41.785,144.693,34.234,20.616,103.600,80.281,131.826,127.632,92.309,114.529,73.000,33.956,93.381,53.009,89.554,99.282,15.556,82.152,86.977,86.163,18.248,18.358,24.207,99.045,43.267,53.310,100.603,22.361,0,13.038,107.648,120.934,133.724,62.936,27.203,94.191,48.083,100.658,65.970,11.314
Hagen,138.698,33.302,7.211,70.235,63.561,11.402,125.036,38.288,99.403,63.514,94.541,75.107,91.984,46.174,152.611,39.013,19.105,153.483,96.897,54.406,155.416,21.587,18.682,112.610,68.007,140.584,116.276,104.752,126.574,82.807,38.275,103.392,64.498,97.417,106.532,26.000,77.078,75.240,92.661,6.403,15.524,18.111,107.815,55.009,60.465,109.713,11.402,13.038,0,116.387,130.969,122.801,75.690,34.205,107.229,36.249,113.217,78.447,22.847
Hersbruck,40.262,116.211,123.556,148.003,65.253,126.823,99.479,78.816,157.877,115.741,53.367,85.000,71.589,83.006,69.080,95.079,118.849,38.013,25.710,76.538,48.374,127.562,127.863,5.000,156.080,24.207,182.784,56.859,51.740,35.847,132.503,20.100,60.083,20.591,18.028,111.364,106.532,155.618,31.048,116.726,125.925,131.826,8.602,69.080,56.586,8.062,127.781,107.648,116.387,0,22.023,183.003,69.029,82.219,88.023,130.920,61.057,104.019,96.519
Ingolstadt,19.235,134.648,137.975,168.244,73.246,140.716,89.493,92.698,179.360,136.561,51.971,86.833,69.354,102.044,48.877,104.561,130.729,24.698,47.265,84.906,26.926,144.267,140.357,22.361,175.693,21.190,204.198,51.010,37.121,48.166,142.042,27.586,69.405,41.000,40.050,122.201,128.133,175.841,52.469,132.136,138.773,145.041,27.659,79.202,73.573,24.042,142.215,120.934,130.969,22.023,0,204.658,72.111,97.453,81.615,149.094,51.971,104.924,109.622
Kiel,220.656,91.788,122.589,52.697,167.905,126.246,238.416,139.979,26.173,71.568,194.612,190.066,200.661,111.158,245.002,157.309,141.510,217.589,157.407,164.560,231.366,102.343,136.825,182.332,58.694,201.326,10.198,205.526,220.111,167.108,158.003,183.134,164.754,163.884,165.387,148.607,76.531,48.918,152.191,116.469,134.272,131.210,177.133,159.355,140.513,181.000,121.828,133.724,122.801,183.003,204.658,0,183.861,131.735,219.986,86.822,214.462,198.540,137.615
Mannheim,71.847,95.131,81.271,135.624,16.155,82.079,54.708,44.283,157.892,112.929,22.023,16.125,17.029,73.736,78.772,38.949,67.602,96.799,67.067,21.378,90.139,95.189,77.897,64.031,138.000,89.627,179.869,30.232,53.907,37.947,73.539,49.163,20.809,61.131,71.805,57.454,114.935,142.352,67.119,79.624,77.369,84.077,62.073,24.515,49.204,61.008,85.094,62.936,75.690,69.029,72.111,183.861,0,52.469,36.401,106.118,38.013,35.228,53.151
Marburg,106.550,43.046,41.400,83.217,37.014,44.944,106.733,8.246,105.948,61.741,66.753,58.694,69.462,25.495,123.369,31.623,40.608,119.503,63.063,32.894,122.589,47.413,47.760,78.518,86.284,106.405,127.475,77.647,97.124,49.406,59.000,70.000,35.355,63.246,72.560,37.121,67.357,90.050,59.093,34.713,45.310,50.537,73.661,28.071,26.420,75.664,45.607,27.203,34.205,82.219,97.453,131.735,52.469,0,88.295,55.317,86.579,70.000,18.000
Offenburg,72.339,130.250,111.759,170.988,52.555,111.463,18.439,80.050,194.095,149.265,36.056,32.140,20.809,110.136,64.498,68.264,95.126,104.005,95.000,55.731,89.443,128.016,105.019,83.385,172.491,102.421,215.745,31.321,48.508,67.209,94.430,68.877,56.798,87.658,96.897,84.723,151.212,177.496,96.540,112.040,105.323,111.830,83.630,60.729,84.723,81.025,115.117,94.191,107.229,88.023,81.615,219.986,36.401,88.295,0,140.228,30.000,37.202,86.023
