,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9,\string10,\string11,\string12,\string13,\string14,\string15,\string16,\string17,\string18,\string19,\string20,\string21,\string22,\string23,\string24,\string25,\string26,\string27,\string28,\string29,\string30,\string31,\string32,\string33,\string34,\string35,\string36,\string37
\string23,64.568,62.201,62.083,56.515,65.391,62.105,63.793,56.754,46.981,63.663,41.137,53.544,43.212,30.907,55.498,32.144,39.862,16.000,32.156,13.611,54.736,23.003,58.009,0,25.617,64.413,10.817,33.272,20.421,16.378,28.355,30.401,68.688,33.601,55.498,44.777,57.663,37.162
\string24,67.233,68.958,71.722,67.121,56.145,55.329,51.307,47.647,52.924,50.894,43.267,41.596,32.527,36.892,36.142,24.207,24.398,30.729,16.286,37.590,30.401,5.832,33.649,25.617,0,39.614,19.628,11.673,41.113,31.843,15.500,20.421,45.970,31.548,35.892,31.101,40.463,38.643
\string25,90.432,96.198,101.248,98.127,67.387,70.781,57.957,62.306,82.670,56.657,72.092,55.118,50.993,69.730,34.249,51.674,42.497,68.037,42.297,76.526,18.138,43.550,9.695,64.413,39.614,0,57.009,33.377,78.371,68.580,43.370,45.445,15.843,57.341,29.816,42.802,34.670,62.177
\string26,72.014,70.739,71.325,65.871,68.710,66.272,65.749,59.917,54.848,65.468,47.637,55.444,45.280,38.213,53.749,34.529,39.749,25.080,31.289,24.213,49.689,19.508,51.711,10.817,19.628,57.009,0,24.372,22.045,13.684,18.028,19.628,59.875,23.791,45.177,34.029,47.202,28.071
\string27,78.473,80.536,83.368,78.772,65.261,65.223,59.250,57.149,64.570,58.600,54.811,50.517,42.086,48.552,40.435,35.175,33.076,41.413,26.173,46.425,29.850,17.497,29.766,33.272,11.673,33.377,24.372,0,45.100,35.217,10.724,14.221,36.620,27.092,24.393,21.213,28.810,33.437
\string28,81.068,76.798,75.075,69.029,84.457,80.610,83.502,75.710,62.010,83.546,57.950,72.429,62.986,47.930,74.760,51.626,59.211,33.481,51.039,22.875,71.477,40.251,73.593,20.421,41.113,78.371,22.045,45.100,0,10.308,36.180,35.725,79.806,30.822,62.169,47.686,63.040,31.969
\string29,79.046,76.087,75.432,69.507,78.894,75.626,77.116,69.987,60.241,77.112,54.608,65.896,56.622,44.956,66.710,45.321,51.742,31.181,43.258,24.434,62.131,31.692,64.127,16.378,31.843,68.580,13.684,35.217,10.308,0,26.082,25.981,70.251,22.389,52.500,38.279,53.993,26.139
\string30,81.370,82.006,83.894,78.778,71.386,70.378,66.567,62.809,65.477,66.159,56.535,56.595,47.992,49.104,49.840,39.157,39.762,39.648,31.718,41.680,40.200,20.168,40.410,28.355,15.500,43.370,18.028,10.724,36.180,26.082,0,5.315,44.788,16.882,27.785,17.464,31.064,24.597
\string31,86.060,86.436,88.074,82.869,76.500,75.507,71.537,67.943,69.986,71.051,61.262,61.776,52.924,53.460,54.206,44.057,44.713,43.038,36.705,43.749,44.003,25.044,43.200,30.401,20.421,45.445,19.628,14.221,35.725,25.981,5.315,0,45.025,13.238,26.613,14.534,28.657,19.729
\string32,103.349,108.301,112.726,109.188,82.085,85.094,72.705,76.531,94.214,71.281,83.745,69.405,63.751,79.851,48.394,62.692,54.854,75.353,52.934,81.745,32.711,50.947,23.173,68.688,45.970,15.843,59.875,36.620,79.806,70.251,44.788,45.025,0,55.525,23.367,39.128,24.920,57.940
\string33,93.520,92.574,93.280,87.641,86.493,84.747,82.529,77.679,75.844,82.280,68.112,71.791,63.358,59.768,66.701,53.481,55.731,48.094,47.339,45.324,56.542,35.108,55.911,33.601,31.548,57.341,23.791,27.092,30.822,22.389,16.882,13.238,55.525,0,34.249,18.111,35.185,12.570
\string34,101.514,104.312,107.472,102.947,84.593,85.726,77.196,77.285,88.336,76.348,78.309,69.936,63.303,72.713,55.064,58.286,53.749,65.544,48.559,69.031,39.038,41.698,33.541,55.498,35.892,29.816,45.177,24.393,62.169,52.500,27.785,26.613,23.367,34.249,0,16.523,8.544,37.961
\string35,97.929,99.005,101.080,95.964,85.305,85.029,79.542,77.084,82.318,79.032,73.125,70.185,62.724,66.244,60.175,55.102,53.684,57.035,46.573,57.950,46.487,36.504,43.749,44.777,31.101,42.802,34.029,21.213,47.686,38.279,17.464,14.534,39.128,18.111,16.523,0,18.708,23.791
\string36,106.630,109.142,112.015,107.420,90.648,91.761,83.036,83.319,93.361,82.012,83.530,76.197,68.660,77.254,60.341,63.374,59.262,68.797,53.842,71.262,44.956,46.266,38.393,57.663,40.463,34.670,47.202,28.810,63.040,53.993,31.064,28.657,24.920,35.185,8.544,18.708,0,36.000
\string37,100.010,98.752,99.052,93.440,94.154,92.542,89.705,85.452,82.730,89.163,75.374,79.887,70.216,66.214,72.780,60.467,62.801,52.811,54.507,48.397,62.968,42.197,60.877,37.162,38.643,62.177,28.071,33.437,31.969,26.139,24.597,19.729,57.940,12.570,37.961,23.791,36.000,0
