,Giessen,Frankfurt,Marburg,Aschaffenburg,Darmstadt,Fulda,Mainz,Siegen,Wuerzburg,Koblenz,Gummersburg,Mannheim,Kassel,Bonn,Hagen,Dortmund,Heilbronn,Bamberg,Koeln,Ansbach,Coburg,Kaiserslautern,Lichtenfels,Bochum,Duesseldorf,Erlangen,Essen,Karlsruhe,Fuerth,Gelsen-Kirchen,Neuss,Bielefeld,Nuernburg,Stuttgart,Bayreuth,Muenster,Duisburg,Hersbruck,Saarbruecken,Reutlingen,Aachen,Osnabrueck,Hannover,Offenburg,Ingolstadt,Ulm,Braunschweig,Augsburg,Regensburg,Freiburg,Bremen,Oldenburg,Landshut,Muenchen,Bremen,Kempten,Hamburg,Rendsburg,Kiel
Gummersburg,28.844,43.267,27.203,53.009,51.478,53.310,41.785,11.314,73.000,26.000,0,62.936,45.891,15.556,13.038,18.248,82.292,89.554,14.036,93.381,86.163,62.073,89.961,18.385,18.358,99.045,20.000,79.076,100.603,22.361,20.616,42.438,103.600,92.309,99.282,34.234,24.207,107.648,65.970,100.658,33.956,48.083,70.767,94.191,120.934,114.529,82.152,127.613,131.826,112.018,81.541,80.281,144.045,144.693,86.977,140.428,109.604,127.632,133.724
Mannheim,44.283,24.515,52.469,20.809,16.155,49.204,21.378,53.151,37.947,38.949,62.936,0,73.736,57.454,75.690,79.624,22.023,61.131,67.602,49.163,67.119,16.125,67.067,81.271,77.369,62.073,82.079,17.029,61.008,85.094,77.897,95.131,64.031,30.232,71.805,95.189,84.077,69.029,35.228,38.013,73.539,106.118,112.929,36.401,72.111,53.907,114.935,71.847,89.627,54.708,135.624,138.000,96.799,90.139,142.352,78.772,157.892,179.869,183.861
Kassel,32.650,49.659,25.495,53.852,57.585,30.265,56.604,40.719,57.871,57.009,45.891,73.736,0,59.464,46.174,42.953,83.487,62.434,59.841,76.538,53.907,82.492,59.034,52.612,61.000,75.180,57.428,90.139,78.262,56.089,64.008,33.422,80.529,94.430,68.884,48.021,64.281,83.006,95.131,103.392,79.831,48.270,39.623,110.136,102.044,110.368,42.202,114.843,106.019,128.413,67.268,73.736,120.950,128.693,74.733,136.066,85.000,108.167,111.158
Bonn,35.355,43.012,37.121,52.802,49.518,60.828,38.210,19.235,75.664,18.601,15.556,57.454,59.464,0,26.000,32.202,78.600,94.921,10.440,95.131,93.392,52.887,96.566,28.284,20.616,102.859,27.019,72.090,103.832,31.016,20.616,57.801,106.944,87.664,105.304,47.434,27.203,111.364,53.235,95.383,22.204,62.241,86.313,84.723,122.201,111.018,97.350,126.574,135.204,101.833,96.151,93.920,146.168,144.312,101.237,136.213,124.808,142.225,148.607
Hagen,38.288,55.009,34.205,64.498,63.561,60.465,54.406,22.847,82.807,39.013,13.038,75.690,46.174,26.000,0,6.403,94.541,97.417,19.105,103.392,92.661,75.107,96.897,7.211,15.524,107.815,11.402,91.984,109.713,11.402,18.682,33.302,112.610,104.752,106.532,21.587,18.111,116.387,78.447,113.217,38.275,36.249,63.514,107.229,130.969,126.574,77.078,138.698,140.584,125.036,70.235,68.007,153.483,155.416,75.240,152.611,99.403,116.276,122.801
Dortmund,39.962,57.940,34.713,67.119,66.731,60.308,58.249,26.476,84.024,44.102,18.248,79.624,42.953,32.202,6.403,0,97.739,97.309,25.495,104.637,91.810,80.000,96.260,10.050,21.024,108.208,15.133,96.177,110.318,13.153,24.166,27.019,113.137,108.157,106.019,16.031,22.204,116.726,84.172,116.760,44.407,30.083,57.454,112.040,132.136,129.468,71.512,140.663,140.858,130.004,63.953,62.097,154.175,157.051,69.080,155.618,93.005,110.023,116.469
Heilbronn,59.228,39.850,66.753,31.401,31.016,54.571,40.817,71.694,32.202,60.000,82.292,22.023,83.487,78.600,94.541,97.739,0,51.614,88.482,33.526,60.828,35.114,59.034,100.648,97.944,48.104,102.000,18.248,45.880,104.652,98.737,109.659,48.508,11.000,60.902,112.641,104.623,53.367,52.953,20.000,95.483,122.000,123.045,36.056,51.971,32.450,121.840,49.930,71.063,50.990,149.054,152.948,76.400,68.264,156.157,58.138,168.443,191.588,194.612
Bamberg,60.828,54.589,63.246,47.011,53.009,37.014,63.198,78.715,23.345,80.050,89.554,61.131,62.434,94.921,97.417,97.309,51.614,0,101.553,22.361,12.166,77.130,8.062,104.623,107.912,13.342,108.167,68.476,17.117,108.812,110.059,95.692,18.682,58.694,11.000,107.517,113.534,20.591,96.104,65.299,116.692,110.436,95.603,87.658,41.000,61.847,87.367,57.000,43.932,101.980,127.581,135.518,58.523,67.912,135.192,83.546,138.452,163.248,163.884
Koeln,40.853,51.662,40.608,61.555,58.796,66.098,47.802,23.087,83.487,28.653,14.036,67.602,59.841,10.440,19.105,25.495,88.482,101.553,0,103.407,98.980,63.325,102.528,19.313,10.198,110.277,17.117,82.462,111.517,21.378,10.296,52.345,114.586,97.755,111.615,39.357,16.763,118.849,63.032,105.589,20.248,54.708,82.201,95.126,130.729,120.930,94.826,135.882,142.888,112.147,88.837,85.615,154.402,153.444,93.477,146.291,118.406,134.718,141.510
Ansbach,65.115,52.154,70.000,42.544,47.011,47.011,58.600,82.073,20.616,77.897,93.381,49.163,76.538,95.131,103.392,104.637,33.526,22.361,103.407,0,34.176,65.031,30.414,110.390,111.288,14.765,113.137,51.662,12.369,114.630,112.929,108.337,15.133,38.275,29.000,117.047,117.516,20.100,84.000,43.863,115.486,122.540,113.137,68.877,27.586,39.560,107.019,38.328,41.110,81.609,143.586,150.217,51.039,52.839,151.119,62.290,157.318,181.797,183.134
Coburg,58.241,56.143,59.093,50.220,56.515,32.894,65.376,75.895,29.682,80.225,86.163,67.119,53.907,93.392,92.661,91.810,60.828,12.166,98.980,34.176,0,82.638,5.385,99.850,104.389,25.020,103.769,76.609,29.000,103.942,106.775,87.321,30.150,68.884,15.000,100.658,109.590,31.048,101.193,76.026,115.521,102.176,84.758,96.540,52.469,73.736,75.664,69.029,52.479,111.732,117.273,125.782,67.978,79.246,124.888,95.708,126.921,151.796,152.191
Kaiserslautern,50.567,33.422,58.694,33.838,27.803,61.620,25.942,54.231,53.852,36.125,62.073,16.125,82.492,52.887,75.107,80.000,35.114,77.130,63.325,65.031,82.638,0,82.861,79.630,73.498,78.160,79.429,21.213,77.006,83.024,73.376,99.247,80.000,40.224,87.864,96.005,80.081,85.000,19.105,45.967,64.900,108.559,120.420,32.140,86.833,64.203,124.555,84.534,105.076,50.010,140.036,140.911,111.400,102.883,146.328,87.046,164.469,185.324,190.066
Lichtenfels,61.685,58.009,63.063,51.352,57.559,36.674,67.030,79.480,29.155,82.735,89.961,67.067,59.034,96.566,96.897,96.260,59.034,8.062,102.528,30.414,5.385,82.861,0,104.101,108.259,20.025,107.912,75.472,24.083,108.227,110.571,92.455,25.020,66.483,9.899,105.475,113.600,25.710,101.651,73.246,118.600,107.299,90.139,95.000,47.265,69.857,80.895,64.125,47.170,109.659,122.654,131.126,62.610,73.980,130.269,91.220,132.197,157.089,157.407
Bochum,45.277,61.400,41.400,71.021,69.771,67.676,60.166,29.155,89.828,43.566,18.385,81.271,52.612,28.284,7.211,10.050,100.648,104.623,19.313,110.390,99.850,79.630,104.101,0,12.042,114.978,5.099,97.268,116.846,4.243,15.000,35.847,119.754,110.693,113.741,20.248,12.166,123.556,81.498,119.038,36.069,35.805,66.648,111.759,137.975,132.834,81.271,145.427,147.757,129.314,69.893,66.310,160.590,162.265,74.303,158.777,100.005,115.603,122.589
Duesseldorf,47.170,60.208,45.310,70.093,67.801,71.589,57.140,29.411,91.049,38.484,18.358,77.369,61.000,20.616,15.524,21.024,97.944,107.912,10.198,111.288,104.389,73.498,108.259,12.042,0,117.324,8.062,92.477,118.811,12.530,3.162,47.707,121.828,107.424,117.618,32.016,6.708,125.925,73.000,115.382,24.042,47.634,78.390,105.323,138.773,130.384,92.477,144.693,150.083,122.332,81.609,77.369,162.111,162.052,85.755,155.913,111.946,127.094,134.272
Erlangen,70.214,60.745,73.661,51.923,57.271,48.166,68.411,87.920,27.514,86.729,99.045,62.073,75.180,102.859,107.815,108.208,48.104,13.342,110.277,14.765,25.020,78.160,20.025,114.978,117.324,0,118.229,66.098,4.123,119.206,119.269,108.227,5.385,53.000,15.264,119.206,123.223,8.602,97.252,58.258,124.085,122.874,108.931,83.630,27.659,51.624,100.603,44.102,32.802,96.260,140.801,148.556,46.228,54.571,148.408,71.568,151.753,176.567,177.133
Essen,48.166,63.246,44.944,73.007,71.344,71.344,61.270,31.241,92.655,43.681,20.000,82.079,57.428,27.019,11.402,15.133,102.000,108.167,17.117,113.137,103.769,79.429,107.912,5.099,8.062,118.229,0,97.719,119.971,4.472,10.630,40.706,122.919,111.826,117.478,24.083,7.071,126.823,80.100,120.017,31.890,39.699,71.554,111.463,140.716,134.332,86.331,147.611,151.030,128.763,73.600,69.318,163.600,164.657,77.698,160.125,104.062,119.038,126.246
Karlsruhe,61.294,41.437,69.462,36.401,32.757,64.008,38.118,69.721,47.011,54.083,79.076,17.029,90.139,72.090,91.984,96.177,18.248,68.476,82.462,51.662,76.609,21.213,75.472,97.268,92.477,66.098,97.719,0,64.031,100.960,92.704,112.161,66.708,19.698,78.294,111.879,99.161,71.589,36.401,24.759,85.802,123.065,129.541,20.809,69.354,43.267,130.782,64.622,89.000,38.484,152.643,155.003,93.381,82.855,159.380,65.856,174.642,196.787,200.661
Fuerth,71.840,61.327,75.664,52.202,57.280,50.606,68.622,89.404,28.178,87.321,100.603,61.008,78.262,103.832,109.713,110.318,45.880,17.117,111.517,12.369,29.000,77.006,24.083,116.846,118.811,4.123,119.971,64.031,0,121.083,120.673,111.140,3.162,50.120,19.235,121.659,124.808,8.062,96.047,55.000,124.812,125.718,112.539,81.025,24.042,47.707,104.480,40.050,31.385,93.193,144.222,151.796,43.863,50.961,151.822,67.446,155.563,180.347,181.000
Gelsen-Kirchen,49.518,65.513,45.607,75.166,73.824,71.847,64.078,33.287,94.069,47.074,22.361,85.094,56.089,31.016,11.402,13.153,104.652,108.812,21.378,114.630,103.942,83.024,108.227,4.243,12.530,119.206,4.472,100.960,121.083,0,15.000,37.162,123.988,114.634,117.886,19.799,10.296,127.781,84.214,122.931,36.235,35.384,68.029,115.117,142.215,136.883,83.241,149.616,151.980,132.544,69.203,64.846,164.830,166.481,73.246,162.788,99.765,114.586,121.828
Neuss,49.244,61.522,47.760,71.421,68.884,73.926,58.009,31.385,92.801,38.949,20.616,77.897,64.008,20.616,18.682,24.166,98.737,110.059,10.296,112.929,106.775,73.376,110.571,15.000,3.162,119.269,10.630,92.704,120.673,15.000,0,50.774,123.709,108.046,119.867,34.713,7.000,127.863,72.062,115.884,21.260,50.329,81.492,105.019,140.357,131.187,95.635,145.911,151.990,121.824,84.202,79.649,163.835,163.380,88.204,156.579,114.691,129.541,136.825
Bielefeld,51.000,71.000,43.046,78.313,80.006,61.327,74.545,45.880,88.600,65.552,42.438,95.131,33.422,57.801,33.302,27.019,109.659,95.692,52.345,108.337,87.321,99.247,92.455,35.847,47.707,108.227,40.706,112.161,111.140,37.162,50.774,0,113.534,120.599,102.303,20.025,47.424,116.211,106.775,129.557,71.400,14.866,30.871,130.250,134.648,139.270,46.690,146.328,139.402,148.637,40.792,43.290,154.208,161.012,47.265,165.424,67.231,86.331,91.788
Nuernburg,74.813,64.475,78.518,55.362,60.440,53.263,71.784,92.418,31.305,90.471,103.600,64.031,80.529,106.944,112.610,113.137,48.508,18.682,114.586,15.133,30.150,80.000,25.020,119.754,121.828,5.385,122.919,66.708,3.162,123.988,123.709,113.534,0,52.326,18.974,124.326,127.801,5.000,99.020,56.859,127.953,128.160,114.285,83.385,22.361,48.600,105.802,39.319,28.302,95.189,146.185,153.935,41.110,49.244,153.792,67.357,157.003,181.838,182.332
Stuttgart,70.036,50.448,77.647,42.297,41.485,65.307,50.567,81.933,41.593,69.116,92.309,30.232,94.430,87.664,104.752,108.157,11.000,58.694,97.755,38.275,68.884,40.224,66.483,110.693,107.424,53.000,111.826,19.698,50.120,114.634,108.046,120.599,52.326,0,67.007,123.227,114.127,56.859,56.080,9.000,103.392,132.834,133.959,31.321,51.010,24.083,132.439,44.944,71.449,43.417,160.050,163.884,74.431,63.159,167.147,48.549,179.354,202.556,205.526
Bayreuth,70.774,65.490,72.560,58.009,64.008,46.141,74.169,88.640,34.234,90.802,99.282,71.805,68.884,105.304,106.532,106.019,60.902,11.000,111.615,29.000,15.000,87.864,9.899,113.741,117.618,15.264,117.478,78.294,19.235,117.886,119.867,102.303,18.974,67.007,0,115.365,123.065,18.028,106.888,72.863,127.201,117.154,99.161,96.897,40.050,66.888,89.051,58.052,37.590,110.422,131.947,140.656,53.310,66.189,139.556,86.331,140.464,165.424,165.387
Muenster,53.852,72.801,47.413,81.597,81.744,71.063,73.824,42.190,96.566,60.133,34.234,95.189,48.021,47.434,21.587,16.031,112.641,107.517,39.357,117.047,100.658,96.005,105.475,20.248,32.016,119.206,24.083,111.879,121.659,19.799,34.713,20.025,124.326,123.227,115.365,0,29.833,127.562,100.020,131.939,55.973,15.620,50.000,128.016,144.267,143.962,66.611,153.951,151.427,146.014,49.649,46.487,165.424,169.812,54.120,170.188,79.981,95.383,102.343
Duisburg,53.009,66.708,50.537,76.577,74.404,76.942,63.812,35.468,97.185,45.188,24.207,84.077,64.281,27.203,18.111,22.204,104.623,113.534,16.763,117.516,109.590,80.081,113.600,12.166,6.708,123.223,7.071,99.161,124.808,10.296,7.000,47.424,127.801,114.127,123.065,29.833,0,131.826,79.057,122.090,26.926,45.277,78.294,111.830,145.041,137.058,93.301,151.212,156.013,128.725,78.746,73.573,168.241,168.505,82.420,162.610,109.604,123.709,131.210
Hersbruck,78.816,69.080,82.219,60.083,65.253,56.586,76.538,96.519,35.847,95.079,107.648,69.029,83.006,111.364,116.387,116.726,53.367,20.591,118.849,20.100,31.048,85.000,25.710,123.556,125.925,8.602,126.823,71.589,8.062,127.781,127.863,116.211,5.000,56.859,18.028,127.562,131.826,0,104.019,61.057,132.503,130.920,115.741,88.023,22.023,51.740,106.532,40.262,24.207,99.479,148.003,156.080,38.013,48.374,155.618,69.080,157.877,182.784,183.003
Saarbruecken,62.482,48.826,70.000,51.478,45.188,77.936,39.825,60.926,72.780,41.231,65.970,35.228,95.131,53.235,78.447,84.172,52.953,96.104,63.032,84.000,101.193,19.105,101.651,81.498,73.000,97.252,80.100,36.401,96.047,84.214,72.062,106.775,99.020,56.080,106.888,100.020,79.057,104.019,0,60.033,58.523,114.018,131.027,37.202,104.924,79.177,137.277,101.020,123.685,51.264,147.054,146.250,129.294,119.231,152.778,99.639,173.566,193.003,198.540
Reutlingen,78.918,59.228,86.579,51.245,50.220,74.148,58.873,90.443,49.769,76.942,100.658,38.013,103.392,95.383,113.217,116.760,20.000,65.299,105.589,43.863,76.026,45.967,73.246,119.038,115.382,58.258,120.017,24.759,55.000,122.931,115.884,129.557,56.859,9.000,72.863,131.939,122.090,61.057,60.033,0,110.259,141.718,142.899,30.000,51.971,19.313,141.156,42.579,73.007,38.471,169.047,172.838,74.007,60.166,176.139,41.231,188.290,211.533,214.462
Aachen,57.559,63.506,59.000,72.945,68.797,83.024,57.140,41.000,96.664,37.590,33.956,73.539,79.831,22.204,38.275,44.407,95.483,116.692,20.248,115.486,115.521,64.900,118.600,36.069,24.042,124.085,31.890,85.802,124.812,36.235,21.260,71.400,127.953,103.392,127.201,55.973,26.926,132.503,58.523,110.259,0,71.589,101.789,94.430,142.042,127.350,114.935,144.810,156.080,109.731,105.423,100.499,166.355,162.890,109.289,151.489,135.949,150.602,158.003
Osnabrueck,62.801,82.608,55.317,90.609,91.662,75.591,85.006,54.332,102.552,73.348,48.083,106.118,48.270,62.241,36.249,30.083,122.000,110.436,54.708,122.540,102.176,108.559,107.299,35.805,47.634,122.874,39.699,123.065,125.718,35.384,50.329,14.866,128.160,132.834,117.154,15.620,45.277,130.920,114.018,141.718,71.589,0,38.053,140.228,149.094,152.345,56.080,160.328,154.201,158.455,34.132,32.388,168.929,175.317,39.000,178.572,64.382,80.062,86.822
Hannover,69.857,88.544,61.741,93.392,96.840,69.065,94.541,71.218,96.047,90.443,70.767,112.929,39.623,86.313,63.514,57.454,123.045,95.603,82.201,113.137,84.758,120.420,90.139,66.648,78.390,108.931,71.554,129.541,112.539,68.029,81.492,30.871,114.285,133.959,99.161,50.000,78.294,115.741,131.027,142.899,101.789,38.053,0,149.265,136.561,149.013,18.682,151.251,136.565,167.631,33.601,44.598,152.463,163.487,41.049,174.287,45.398,69.007,71.568
Offenburg,80.050,60.729,88.295,56.798,52.555,84.723,55.731,86.023,67.209,68.264,94.191,36.401,110.136,84.723,107.229,112.040,36.056,87.658,95.126,68.877,96.540,32.140,95.000,111.759,105.323,83.630,111.463,20.809,81.025,115.117,105.019,130.250,83.385,31.321,96.897,128.016,111.830,88.023,37.202,30.000,94.430,140.228,149.265,0,81.615,48.508,151.212,72.339,102.421,18.439,170.988,172.491,104.005,89.443,177.496,64.498,194.095,215.745,219.986
Ingolstadt,92.698,79.202,97.453,69.405,73.246,73.573,84.906,109.622,48.166,104.561,120.934,72.111,102.044,122.201,130.969,132.136,51.971,41.000,130.729,27.586,52.469,86.833,47.265,137.975,138.773,27.659,140.716,69.354,24.042,142.215,140.357,134.648,22.361,51.010,40.050,144.267,145.041,22.023,104.924,51.971,142.042,149.094,136.561,81.615,0,37.121,128.133,19.235,21.190,89.493,168.244,175.693,24.698,26.926,175.841,48.877,179.360,204.198,204.658
Ulm,90.139,71.589,97.124,62.394,63.063,80.156,73.246,103.755,53.009,92.418,114.529,53.907,110.368,111.018,126.574,129.468,32.450,61.847,120.930,39.560,73.736,64.203,69.857,132.834,130.384,51.624,134.332,43.267,47.707,136.883,131.187,139.270,48.600,24.083,66.888,143.962,137.058,51.740,79.177,19.313,127.350,152.345,149.013,48.508,37.121,0,144.886,24.000,58.181,53.151,177.370,182.390,56.569,41.000,184.700,26.249,194.041,218.021,220.111
Braunschweig,74.813,91.417,67.357,94.430,98.838,67.357,98.737,80.281,92.228,98.290,82.152,114.935,42.202,97.350,77.078,71.512,121.840,87.367,94.826,107.019,75.664,124.555,80.895,81.271,92.477,100.603,86.331,130.782,104.480,83.241,95.635,46.690,105.802,132.439,89.051,66.611,93.301,106.532,137.277,141.156,114.935,56.080,18.682,151.212,128.133,144.886,0,144.222,125.575,169.260,49.679,61.855,141.760,154.871,56.586,169.189,51.420,76.400,76.531
Augsburg,100.703,84.504,106.550,74.653,77.104,85.094,88.391,116.400,57.775,108.208,127.613,71.847,114.843,126.574,138.698,140.663,49.930,57.000,135.882,38.328,69.029,84.534,64.125,145.427,144.693,44.102,147.611,64.622,40.050,149.616,145.911,146.328,39.319,44.944,58.052,153.951,151.212,40.262,101.020,42.579,144.810,160.328,151.251,72.339,19.235,24.000,144.222,0,37.643,76.792,181.912,188.473,32.985,18.358,189.447,29.682,195.028,219.666,220.656
Regensburg,103.005,92.574,106.405,83.259,88.023,80.623,99.539,120.673,59.540,118.533,131.826,89.627,106.019,135.204,140.584,140.858,71.063,43.932,142.888,41.110,52.479,105.076,47.170,147.757,150.083,32.802,151.030,89.000,31.385,151.980,151.990,139.402,28.302,71.449,37.590,151.427,156.013,24.207,123.685,73.007,156.080,154.201,136.565,102.421,21.190,58.181,125.575,37.643,0,110.680,169.496,178.239,16.279,35.468,177.102,66.528,176.921,201.921,201.326
Freiburg,98.489,79.120,106.733,74.847,70.838,102.421,74.148,104.173,83.096,86.023,112.018,54.708,128.413,101.833,125.036,130.004,50.990,101.980,112.147,81.609,111.732,50.010,109.659,129.314,122.332,96.260,128.763,38.484,93.193,132.544,121.824,148.637,95.189,43.417,110.422,146.014,128.725,99.479,51.264,38.471,109.731,158.455,167.631,18.439,89.493,53.151,169.260,76.792,110.680,0,189.391,190.759,109.659,92.022,195.870,61.612,212.511,234.184,238.416
Bremen,91.351,111.288,83.217,118.004,120.204,97.494,115.261,86.400,125.132,105.948,81.541,135.624,67.268,96.151,70.235,63.953,149.054,127.581,88.837,143.586,117.273,140.036,122.654,69.893,81.609,140.801,73.600,152.643,144.222,69.203,84.202,40.792,146.185,160.050,131.947,49.649,78.746,148.003,147.054,169.047,105.423,34.132,33.601,170.988,168.244,177.370,49.679,181.912,169.496,189.391,0,13.342,185.224,195.113,7.616,203.226,31.623,46.098,52.697
Oldenburg,94.133,114.110,86.284,121.594,123.146,103.446,117.068,86.701,131.042,105.721,80.281,138.000,73.736,93.920,68.007,62.097,152.948,135.518,85.615,150.217,125.782,140.911,131.126,66.310,77.369,148.556,69.318,155.003,151.796,64.846,79.649,43.290,153.935,163.884,140.656,46.487,73.573,156.080,146.250,172.838,100.499,32.388,44.598,172.491,175.693,182.390,61.855,188.473,178.239,190.759,13.342,0,193.706,202.408,10.770,208.483,41.785,50.448,58.694
Landshut,115.434,103.175,119.503,93.493,97.617,94.366,109.275,132.774,71.063,128.798,144.045,96.799,120.950,146.168,153.483,154.175,76.400,58.523,154.402,51.039,67.978,111.400,62.610,160.590,162.111,46.228,163.600,93.381,43.863,164.830,163.835,154.208,41.110,74.431,53.310,165.424,168.241,38.013,129.294,74.007,166.355,168.929,152.463,104.005,24.698,56.569,141.760,32.985,16.279,109.659,185.224,193.706,0,23.345,192.837,58.249,193.132,218.131,217.589
Muenchen,117.201,101.863,122.589,91.967,94.795,99.730,106.217,133.417,73.246,126.063,144.693,90.139,128.693,144.312,155.416,157.051,68.264,67.912,153.444,52.839,79.246,102.883,73.980,162.265,162.052,54.571,164.657,82.855,50.961,166.481,163.380,161.012,49.244,63.159,66.189,169.812,168.505,48.374,119.231,60.166,162.890,175.317,163.487,89.443,26.926,41.000,154.871,18.358,35.468,92.022,195.113,202.408,23.345,0,202.704,35.777,206.167,231.037,231.366
Bremen,98.127,118.106,90.050,125.016,127.063,104.924,121.807,92.418,132.575,111.826,86.977,142.352,74.733,101.237,75.240,69.080,156.157,135.192,93.477,151.119,124.888,146.328,130.269,74.303,85.755,148.408,77.698,159.380,151.822,73.246,88.204,47.265,153.792,167.147,139.556,54.120,82.420,155.618,152.778,176.139,109.289,39.000,41.049,177.496,175.841,184.700,56.586,189.447,177.102,195.870,7.616,10.770,192.837,202.704,0,210.602,31.016,41.340,48.918
